dependent,independent,alpha,betas,residuals,adj_r2,adf_pvalue,adf_stat
BTCUSDT,"['ADAUSDT', 'BNBUSDT']",-5754.34668903939,"ADAUSDT    38811.088171
BNBUSDT       96.044960
dtype: float64","0        -4947.136649
1        -4965.785742
2        -4990.179230
3        -4964.941478
4        -4993.799885
             ...     
611995    7874.418757
611996    7998.183609
611997    7998.183609
611998    7997.223159
611999    7832.986277
Name: None, Length: 612000, dtype: float64",0.9101597212613759,0.00503686392880207,-3.6402315166696706
BTCUSDT,"['BNBUSDT', 'ADAUSDT']",-5754.346689040827,"BNBUSDT       96.044960
ADAUSDT    38811.088171
dtype: float64","0        -4947.136649
1        -4965.785742
2        -4990.179230
3        -4964.941478
4        -4993.799885
             ...     
611995    7874.418757
611996    7998.183609
611997    7998.183609
611998    7997.223159
611999    7832.986277
Name: None, Length: 612000, dtype: float64",0.9101597212613768,0.0050368639287997445,-3.6402315166698083
XLMUSDT,"['BTCUSDT', 'ADAUSDT']",-0.21263922661864498,"BTCUSDT    0.000003
ADAUSDT    0.365676
dtype: float64","0         0.016572
1         0.016475
2         0.016464
3         0.016387
4         0.015808
            ...   
611995    0.064821
611996    0.064805
611997    0.064805
611998    0.063655
611999    0.063605
Name: None, Length: 612000, dtype: float64",0.9147720623753455,0.0029065345838906863,-3.800076286026776
XLMUSDT,"['ADAUSDT', 'BTCUSDT']",-0.21263922661544515,"ADAUSDT    0.365676
BTCUSDT    0.000003
dtype: float64","0         0.016572
1         0.016475
2         0.016464
3         0.016387
4         0.015808
            ...   
611995    0.064821
611996    0.064805
611997    0.064805
611998    0.063655
611999    0.063605
Name: None, Length: 612000, dtype: float64",0.9147720623753465,0.002906534583800213,-3.8000762860356216
BTCUSDT,"['BNBUSDT', 'XRPUSDT']",13853.554315227131,"BNBUSDT       78.720384
XRPUSDT    12457.251429
dtype: float64","0        -3778.294303
1        -3786.132456
2        -3805.328572
3        -3792.304705
4        -3774.095270
             ...     
611995   -2958.448822
611996   -2865.785755
611997   -2866.408618
611998   -2865.950097
611999   -3000.561953
Name: None, Length: 612000, dtype: float64",0.9267248223911047,0.01097869684191337,-3.399418911219216
BTCUSDT,"['XRPUSDT', 'BNBUSDT']",13853.554315239158,"XRPUSDT    12457.251429
BNBUSDT       78.720384
dtype: float64","0        -3778.294303
1        -3786.132456
2        -3805.328572
3        -3792.304705
4        -3774.095270
             ...     
611995   -2958.448822
611996   -2865.785755
611997   -2866.408618
611998   -2865.950097
611999   -3000.561953
Name: None, Length: 612000, dtype: float64",0.926724822391105,0.01097869684191931,-3.3994189112190427
BTCUSDT,"['BNBUSDT', 'XLMUSDT']",11448.581911806094,"BNBUSDT       80.364654
XLMUSDT    78569.404996
dtype: float64","0        -4343.207291
1        -4351.703152
2        -4371.392549
3        -4345.370781
4        -4320.638712
             ...     
611995    1214.682529
611996    1319.317408
611997    1319.317408
611998    1408.868577
611999    1275.373488
Name: None, Length: 612000, dtype: float64",0.9232063135590762,0.0019203066100275563,-3.915984848468328
BTCUSDT,"['XLMUSDT', 'BNBUSDT']",11448.58191180461,"XLMUSDT    78569.404996
BNBUSDT       80.364654
dtype: float64","0        -4343.207291
1        -4351.703152
2        -4371.392549
3        -4345.370781
4        -4320.638712
             ...     
611995    1214.682529
611996    1319.317408
611997    1319.317408
611998    1408.868577
611999    1275.373488
Name: None, Length: 612000, dtype: float64",0.9232063135590751,0.0019203066100303607,-3.9159848484679256
BTCUSDT,"['SOLUSDT', 'XRPUSDT']",24433.2698274671,"SOLUSDT      194.180696
XRPUSDT    15515.017401
dtype: float64","0        -11433.317049
1        -11440.735960
2        -11464.472161
3        -11487.617261
4        -11463.112749
              ...     
611995     3376.998323
611996     3362.438178
611997     3358.749717
611998     3381.661095
611999     3391.370130
Name: None, Length: 612000, dtype: float64",0.9007393004654682,0.0027306593071555313,-3.817768889989788
BTCUSDT,"['XRPUSDT', 'SOLUSDT']",24433.269827467593,"XRPUSDT    15515.017401
SOLUSDT      194.180696
dtype: float64","0        -11433.317049
1        -11440.735960
2        -11464.472161
3        -11487.617261
4        -11463.112749
              ...     
611995     3376.998323
611996     3362.438178
611997     3358.749717
611998     3381.661095
611999     3391.370130
Name: None, Length: 612000, dtype: float64",0.9007393004654687,0.0027306593071558,-3.81776888998976
