dependent,independent,alpha,adj_r2
BNBUSDT,"['LINKUSDT', 'BTCUSDT']",232.85658486675175,0.7604286430697402
LINKUSDT,"['BTCUSDT', 'BNBUSDT']",10.193429907748921,0.5251458175059187
LINKUSDT,"['BNBUSDT', 'BTCUSDT']",10.193429907751149,0.5251458175059176
BTCUSDT,"['BNBUSDT', 'SOLUSDT']",-3211.655955211212,0.6933777960657844
BTCUSDT,"['SOLUSDT', 'BNBUSDT']",-3211.6559551997193,0.6933777960657833
BNBUSDT,"['BTCUSDT', 'SOLUSDT']",123.11092232156109,0.7585945739420887
BNBUSDT,"['SOLUSDT', 'BTCUSDT']",123.11092232154765,0.7585945739420876
SOLUSDT,"['BTCUSDT', 'BNBUSDT']",20.731921526305477,0.5533889860507141
SOLUSDT,"['BNBUSDT', 'BTCUSDT']",20.731921526288755,0.5533889860507146
BTCUSDT,"['BNBUSDT', 'WBTC']",36741.918123732015,0.7087587059260115
BTCUSDT,"['WBTC', 'BNBUSDT']",36741.9181236393,0.70875870592601
BNBUSDT,"['BTCUSDT', 'WBTC']",6.5515386282053445,0.6989891726407202
BNBUSDT,"['WBTC', 'BTCUSDT']",6.551538627796119,0.6989891726407187
WBTC,"['BTCUSDT', 'BNBUSDT']",1.0238952322666288,0.06420144184325216
WBTC,"['BNBUSDT', 'BTCUSDT']",1.0238952322666204,0.0642014418432525
BTCUSDT,"['BNBUSDT', 'XRPUSDT']",13853.554315227131,0.9267248223911047
BTCUSDT,"['XRPUSDT', 'BNBUSDT']",13853.554315239158,0.926724822391105
BNBUSDT,"['BTCUSDT', 'XRPUSDT']",19.9025782548449,0.7958358097370405
BNBUSDT,"['XRPUSDT', 'BTCUSDT']",19.90257825547953,0.7958358097370443
XRPUSDT,"['BTCUSDT', 'BNBUSDT']",-1.1577711389894834,0.8376141165787179
XRPUSDT,"['BNBUSDT', 'BTCUSDT']",-1.1577711389891685,0.8376141165787176
BTCUSDT,"['BNBUSDT', 'BCHUSDT']",56994.267730226245,0.691389727217861
BTCUSDT,"['BCHUSDT', 'BNBUSDT']",56994.26773029292,0.6913897272178572
BNBUSDT,"['BTCUSDT', 'BCHUSDT']",-197.6544906420614,0.6914152254778292
BNBUSDT,"['BCHUSDT', 'BTCUSDT']",-197.65449063723244,0.6914152254778297
BCHUSDT,"['BTCUSDT', 'BNBUSDT']",0.9876146442203055,0.0042620155356040135
BCHUSDT,"['BNBUSDT', 'BTCUSDT']",0.9876146442202971,0.004262015535593133
BTCUSDT,"['BNBUSDT', 'DAIUSDT']",56994.267730226245,0.691389727217861
BTCUSDT,"['DAIUSDT', 'BNBUSDT']",56994.26773029292,0.6913897272178572
BNBUSDT,"['BTCUSDT', 'DAIUSDT']",-197.6544906420614,0.6914152254778292
BNBUSDT,"['DAIUSDT', 'BTCUSDT']",-197.65449063723244,0.6914152254778297
DAIUSDT,"['BTCUSDT', 'BNBUSDT']",0.9876146442203055,0.0042620155356040135
DAIUSDT,"['BNBUSDT', 'BTCUSDT']",0.9876146442202971,0.004262015535593133
BTCUSDT,"['BNBUSDT', 'LTCUSDT']",-13875.252621740838,0.8718502005532678
BTCUSDT,"['LTCUSDT', 'BNBUSDT']",-13875.25262173744,0.8718502005532678
BNBUSDT,"['BTCUSDT', 'LTCUSDT']",217.16245526314344,0.7193823345057202
BNBUSDT,"['LTCUSDT', 'BTCUSDT']",217.16245526316763,0.7193823345057204
LTCUSDT,"['BTCUSDT', 'BNBUSDT']",26.909335996346528,0.7403858747056264
LTCUSDT,"['BNBUSDT', 'BTCUSDT']",26.909335996351395,0.7403858747056271
BTCUSDT,"['BNBUSDT', 'XLMUSDT']",11448.581911806094,0.9232063135590762
BTCUSDT,"['XLMUSDT', 'BNBUSDT']",11448.58191180461,0.9232063135590751
BNBUSDT,"['BTCUSDT', 'XLMUSDT']",39.562038310542675,0.7941002445847319
BNBUSDT,"['XLMUSDT', 'BTCUSDT']",39.56203830254656,0.7941002445847272
XLMUSDT,"['BTCUSDT', 'BNBUSDT']",-0.1533039518574225,0.827180401116588
XLMUSDT,"['BNBUSDT', 'BTCUSDT']",-0.1533039518573722,0.8271804011165872
BTCUSDT,"['BNBUSDT', 'AVAXUSDT']",-11077.594617248033,0.7108892502709805
BTCUSDT,"['AVAXUSDT', 'BNBUSDT']",-11077.59461723698,0.7108892502709813
BNBUSDT,"['BTCUSDT', 'AVAXUSDT']",218.2513531661464,0.6990622987056865
BNBUSDT,"['AVAXUSDT', 'BTCUSDT']",218.25135316614399,0.6990622987056876
AVAXUSDT,"['BTCUSDT', 'BNBUSDT']",30.641833031194206,0.07394439799834984
AVAXUSDT,"['BNBUSDT', 'BTCUSDT']",30.641833031196484,0.07394439799834962
BTCUSDT,"['DOGEUSDT', 'LINKUSDT']",28876.834207216456,0.6685868443153064
BTCUSDT,"['LINKUSDT', 'DOGEUSDT']",28876.834207217107,0.6685868443153055
DOGEUSDT,"['BTCUSDT', 'LINKUSDT']",-0.11103307666383085,0.5856378668233767
DOGEUSDT,"['LINKUSDT', 'BTCUSDT']",-0.11103307666383003,0.5856378668233768
LINKUSDT,"['BTCUSDT', 'DOGEUSDT']",5.45032397040017,0.38603414597541574
LINKUSDT,"['DOGEUSDT', 'BTCUSDT']",5.450323970420424,0.3860341459754332
BTCUSDT,"['DOGEUSDT', 'SOLUSDT']",43800.76770749605,0.5858237727766449
BTCUSDT,"['SOLUSDT', 'DOGEUSDT']",43800.76770749081,0.585823772776644
DOGEUSDT,"['BTCUSDT', 'SOLUSDT']",-0.1992625166421972,0.7903381155480083
DOGEUSDT,"['SOLUSDT', 'BTCUSDT']",-0.1992625166422265,0.7903381155480071
SOLUSDT,"['BTCUSDT', 'DOGEUSDT']",96.09904203935874,0.7100382782980275
SOLUSDT,"['DOGEUSDT', 'BTCUSDT']",96.09904204828598,0.710038278298031
BTCUSDT,"['DOGEUSDT', 'WBTC']",37539.10168282138,0.5862082584505439
BTCUSDT,"['WBTC', 'DOGEUSDT']",37539.10168284018,0.5862082584505448
DOGEUSDT,"['BTCUSDT', 'WBTC']",0.10774200170189667,0.604682421439904
DOGEUSDT,"['WBTC', 'BTCUSDT']",0.1077420017025531,0.6046824214399122
